StoreName,StoreType,StoreOpeningDate,Address,City,State,Zipcode,Country,Region,Manager Name
The Elegant Treasures,Exclusive,1987-06-12,142 Jack Lock Suite 147 South David  IA 44582,North Jeffrey,Iowa,25164,Papua New ,West,Lauren
The Purely Enclave,MBO,1982-05-12,92454 Cook Plaza Suite 634 East Matthewmouth  FM 95390,East Robert,New Mexico,42768,Madagascar,South,Colleen
The Happy Nook,SMB,1995-12-14,32697 Jeremiah Key Suite 147 Hamptontown  GA 95878,Ashleyview,Delaware,20497,Syrian Ara,East,Jeffrey
The Polished Treasures,MBO,2013-04-23,1561 Ashley Port Waremouth  LA 32691,Thomasville,North Dakota,86258,Guam,South,Chris
The Golden Reflections,Exclusive,2022-12-03,979 Matthew Pass South Carrie  TN 33046,Katherineside,Minnesota,99862,British In,North,Regina
The Harmony Quest,Exclusive,1972-06-30,38879 Romero Crest Apt. 500 South Vanessahaven  GU 86852,West Martin,Tennessee,08988,Equatorial,West,David
The Chic Marvels,Outlet Stores,2008-04-11,391 Michael Plains Apt. 822 South Elizabeth  NY 35573,North Christopherview,Arizona,22392,Lao People,East,Amy
The Dapper Enclave,MBO,1977-01-14,0989 Barbara Port Apt. 960 Joshuaview  MN 02838,Castroview,Missouri,67691,Burundi,South,Kathy
The Chic Nook,Exclusive,1997-09-04,4389 Russell Land Johnmouth  WY 81097,Morrisport,Georgia,68863,Sweden,South,Dale
The Elegant Nook,Outlet Stores,1975-12-29,434 Christine Branch North Jamesfurt  MN 83714,East Donald,Missouri,46394,Singapore,East,Michael
The Shimmer Nook,Exclusive,1995-01-23,5402 Robert Roads Suite 188 Petersonhaven  SC 44895,West Kentbury,Vermont,12027,United Ara,West,Harold
The Happy Marvels,SMB,1996-01-22,593 Hanson Plains Rileychester  UT 57968,Garciahaven,Florida,31014,Cayman Isl,West,Aaron
The Serene Boutique,SMB,1973-10-23,611 Garcia Tunnel Apt. 725 East Dawnton  WA 76015,Samanthaport,North Dakota,21984,Turkmenist,South,Jonathan
